				Velocity Center-point Mean mm/s	Cruising Frequency	Cruising Cumulative Duration s	Bursting Frequency	Bursting Cumulative Duration s	Freezing  Frequency	Freezing  Cumulative Duration s	Turn angle Center-point / relative Mean deg	Meander Center-point / relative Mean deg/mm	Angular velocity Center-point / relative Mean deg/s	Distance moved Center-point Total mm
T1	Trial     8	A2	0:26:00-0:27:00	0.811797	10	0.56	0	0	11	59.44	2.02037	-74.3179	50.5093	48.7078
T1	Trial     8	A2	0:27:00-0:28:00	4.94459	107	14.92	0	0	108	45	-0.137573	-19.3008	-3.43932	296.28
T1	Trial     8	A2	0:28:00-0:29:00	3.40426	35	8.12	0	0	35	51.88	-8.911	-297.618	-222.775	204.256
T1	Trial     8	A2	0:29:00-0:30:00	1.17423	2	0.08	0	0	3	59.92	-6.96194	-137.479	-174.048	70.4537
T1	Trial     8	A2	0:30:00-0:31:00	3.45908	50	6.92	0	0	52	53	7.22262	-127.256	180.565	207.268
T1	Trial     8	A2	0:31:00-0:32:00	1.96953	44	4.44	0	0	45	55.56	1.05538	77.8006	26.3845	118.172
T1	Trial     8	A2	0:32:00-0:33:00	2.89833	93	8.72	0	0	95	51.2	-3.30146	159.142	-82.5366	173.668
T1	Trial     8	A2	0:33:00-0:34:00	1.93918	22	2.8	0	0	23	57.2	-2.16076	301.533	-54.019	116.351
T1	Trial     8	A2	0:34:00-0:35:00	1.23518	5	0.88	0	0	6	59.12	-0.600854	1000.99	-15.0214	74.1106
T1	Trial     8	A2	0:35:00-0:36:00	1.26634	18	1.2	0	0	20	58.72	2.73305	673.472	68.3263	75.8788
T1	Trial     8	A2	0:36:00-0:37:00	2.67036	9	2.96	0	0	10	57.04	3.60675	560.046	90.1686	160.221
T1	Trial     8	A2	0:37:00-0:38:00	1.36532	21	1.8	0	0	22	58.2	6.14857	272.315	153.714	81.9195
T1	Trial     8	A2	0:38:00-0:39:00	1.61076	41	2.8	0	0	43	57.12	-0.11924	81.3341	-2.98101	96.5167
T1	Trial     8	A2	0:39:00-0:40:00	4.59195	42	7.88	0	0	43	52.12	2.3436	4.98326	58.5901	275.517
T1	Trial     8	A2	0:40:00-0:41:00	0.886184	0	0	0	0	2	59.92	0.441686	-172.724	11.0421	53.1001
T1	Trial     8	A2	0:41:00-0:42:00	0.943831	0	0	0	0	1	60	-0.35561	-350.077	-8.89025	56.6299
T1	Trial     8	A2	0:42:00-0:43:00	0.882549	0	0	0	0	1	60	-2.8882	-183.975	-72.2051	52.953
T1	Trial     8	A2	0:43:00-0:44:00	0.81028	0	0	0	0	2	59.92	-3.26238	122.245	-81.5596	48.552
T1	Trial     8	A2	0:44:00-0:45:00	0.811586	0	0	0	0	1	60	0.470514	59.0141	11.7628	48.6951
T1	Trial     8	A2	0:45:00-0:46:00	0.837567	0	0	0	0	1	60	-2.88836	-305.948	-72.2089	50.254
T1	Trial     8	A2	0:46:00-0:47:00	0.908963	2	0.16	0	0	4	59.76	1.15698	170.672	28.9245	54.4651
T1	Trial     8	A2	0:47:00-0:48:00	0.853806	0	0	0	0	1	60	5.88323	311.079	147.081	51.2284
T1	Trial     8	A2	0:48:00-0:49:00	0.827721	0	0	0	0	2	59.92	-1.49933	-228.873	-37.4833	49.5971
T1	Trial     8	A2	0:49:00-0:50:00	0.823586	0	0	0	0	1	60	4.80509	772.032	120.127	49.4151
T1	Trial     8	A6	0:00:00-0:01:00	6.70458	192	22.24	0	0	191	37.52	3.23988	111.13	80.9971	400.666
T1	Trial     8	A6	0:01:00-0:02:00	5.79226	248	22.84	0	0	247	37.16	-2.5546	-131.452	-63.865	347.536
T1	Trial     8	A6	0:02:00-0:03:00	7.77289	257	29.36	0	0	256	30.64	-1.06665	-83.8424	-26.6662	466.373
T1	Trial     8	A6	0:03:00-0:04:00	9.87068	224	35	0	0	224	24.92	-0.327385	15.1768	-8.18464	591.451
T1	Trial     8	A6	0:04:00-0:05:00	12.6549	201	38.48	0	0	201	21.52	-4.27613	-116.157	-106.903	759.297
T1	Trial     8	A6	0:05:00-0:06:00	13.2448	205	38.44	0	0	206	21.56	-3.38356	-54.2145	-84.5889	794.689
T1	Trial     8	A6	0:06:00-0:07:00	13.1201	217	37.84	0	0	218	22.08	-1.90767	-38.8472	-47.6918	786.158
T1	Trial     8	A6	0:07:00-0:08:00	14.225	215	39.64	0	0	214	20.36	-3.37679	-124.549	-84.4198	853.503
T1	Trial     8	A6	0:08:00-0:09:00	12.7622	212	36.28	0	0	210	23.64	-3.93253	-94.0731	-98.3131	764.711
T1	Trial     8	A6	0:09:00-0:10:00	13.1566	209	38	0	0	208	22	-4.16495	-103.312	-104.124	789.393
T1	Trial     8	A6	0:10:00-0:11:00	7.88752	266	28.44	0	0	266	31.56	-2.09182	36.8497	-52.2956	473.251
T1	Trial     8	A6	0:11:00-0:12:00	9.08884	213	29.12	0	0	213	30.8	-4.37154	-131.662	-109.289	544.603
T1	Trial     8	A6	0:12:00-0:13:00	11.0711	236	33.16	0	0	236	26.84	-1.56482	-5.03377	-39.1205	664.263
T1	Trial     8	A6	0:13:00-0:14:00	9.81264	243	33.24	0	0	242	26.76	-2.79832	-63.3327	-69.9581	588.758
T1	Trial     8	A6	0:14:00-0:15:00	9.47386	240	31.48	0	0	238	28.44	-2.30722	-69.624	-57.6805	567.674
T1	Trial     8	A6	0:15:00-0:16:00	10.6869	234	35.4	0	0	235	24.6	0.032088	-5.32312	0.8022	641.214
T1	Trial     8	A6	0:16:00-0:17:00	11.2251	239	35.68	0	0	240	24.24	-0.741539	-81.7968	-18.5385	672.609
T1	Trial     8	A6	0:17:00-0:18:00	10.2124	243	34.16	0	0	242	25.84	-0.287558	-27.8356	-7.18895	612.744
T1	Trial     8	A6	0:18:00-0:19:00	10.6722	228	34.88	0	0	228	25.12	-2.55835	-55.3401	-63.9589	640.331
T1	Trial     8	A6	0:19:00-0:20:00	9.60235	229	31.96	0	0	228	27.96	-2.15225	-72.9808	-53.8063	575.373
T1	Trial     8	A6	0:20:00-0:21:00	7.99718	198	24.36	0	0	199	35.64	-2.23317	-90.2167	-55.8291	479.831
T1	Trial     8	A6	0:21:00-0:22:00	7.91204	219	25.96	0	0	219	34.04	0.929164	-77.1408	23.2291	474.723
T1	Trial     8	A6	0:22:00-0:23:00	9.20791	221	31.48	0	0	221	28.44	-0.700894	-58.3025	-17.5224	551.738
T1	Trial     8	A6	0:23:00-0:24:00	8.06758	220	27.44	0	0	219	32.56	0.0262157	-40.5614	0.655393	484.055
T1	Trial     8	A6	0:24:00-0:25:00	8.08449	228	28.08	0	0	229	31.84	1.33689	168.821	33.4222	484.423
T1	Trial     8	A6	0:25:00-0:26:00	7.81041	210	28.16	0	0	210	31.84	1.6048	109.139	40.1201	468.625
T1	Trial     8	A6	0:26:00-0:27:00	10.4068	213	34.64	0	0	213	25.36	-1.66767	-63.17	-41.6918	624.408
T1	Trial     8	A6	0:27:00-0:28:00	11.3374	199	36.36	0	0	199	23.56	-2.42588	-30.9083	-60.6471	679.339
T1	Trial     8	A6	0:28:00-0:29:00	11.9075	212	37.16	0	0	213	22.84	-3.04692	-92.3113	-76.173	714.451
T1	Trial     8	A6	0:29:00-0:30:00	12.1351	205	37.08	0	0	204	22.92	-3.19357	-51.0922	-79.8393	728.106
T1	Trial     8	A6	0:30:00-0:31:00	8.2753	245	28.96	0	0	244	30.96	-3.49377	-69.9946	-87.3442	495.856
T1	Trial     8	A6	0:31:00-0:32:00	9.97673	243	32.48	0	0	244	27.52	-4.26884	-130.536	-106.721	598.604
T1	Trial     8	A6	0:32:00-0:33:00	9.39219	251	32.24	0	0	250	27.68	-4.88821	-194.838	-122.205	562.78
T1	Trial     8	A6	0:33:00-0:34:00	9.64627	258	33.44	0	0	258	26.56	-2.86268	-103.29	-71.5669	578.776
T1	Trial     8	A6	0:34:00-0:35:00	8.12072	240	28.84	0	0	240	31.16	-0.960743	-29.9599	-24.0186	487.243
T1	Trial     8	A6	0:35:00-0:36:00	8.39235	245	29.96	0	0	243	29.96	-0.0139523	-44.7472	-0.348808	502.87
T1	Trial     8	A6	0:36:00-0:37:00	8.37602	255	29.52	0	0	256	30.48	-0.990729	5.16122	-24.7682	502.561
T1	Trial     8	A6	0:37:00-0:38:00	7.70047	229	27.36	0	0	230	32.64	-2.25279	-123.174	-56.3196	462.028
T1	Trial     8	A6	0:38:00-0:39:00	8.60968	237	28.56	0	0	236	31.36	-2.90259	-230.113	-72.5648	515.892
T1	Trial     8	A6	0:39:00-0:40:00	8.28966	225	29.8	0	0	224	30.2	-0.839643	-78.4989	-20.9911	497.38
T1	Trial     8	A6	0:40:00-0:41:00	7.6493	196	23.88	0	0	195	36.04	1.77561	-35.8395	44.3903	458.346
T1	Trial     8	A6	0:41:00-0:42:00	9.33479	223	30.68	0	0	222	29.32	-1.24971	-28.9396	-31.2428	560.087
T1	Trial     8	A6	0:42:00-0:43:00	8.48843	212	28.04	0	0	212	31.96	-3.91689	-124.489	-97.9223	509.306
T1	Trial     8	A6	0:43:00-0:44:00	4.549	182	16.52	0	0	183	43.4	1.55793	77.7176	38.9482	272.576
T1	Trial     8	A6	0:44:00-0:45:00	2.94181	167	11.16	0	0	168	48.84	3.15752	-85.29	78.938	176.509
T1	Trial     8	A6	0:45:00-0:46:00	3.12374	184	11.8	0	0	184	48.2	3.34171	115.246	83.5427	187.425
T1	Trial     8	A6	0:46:00-0:47:00	3.30336	179	12.52	0	0	180	47.4	1.51114	-92.1657	37.7786	197.937
T1	Trial     8	A6	0:47:00-0:48:00	2.64347	144	8.8	0	0	145	51.2	-0.776717	-73.3873	-19.4179	158.608
T1	Trial     8	A6	0:48:00-0:49:00	2.64387	138	8.76	0	0	140	51.16	-3.33063	-127.552	-83.2656	158.421
T1	Trial     8	A6	0:49:00-0:50:00	3.10518	165	11.4	0	0	166	48.6	-2.46554	-375.936	-61.6386	186.311
T1	Trial     8	B3	0:00:00-0:01:00	1.13796	5	0.28	0	0	7	59.48	-1.27971	-364.345	-31.9927	68.0044
T1	Trial     8	B3	0:01:00-0:02:00	0.958431	0	0	0	0	1	60	0.924464	-565.007	23.1116	57.5059
T1	Trial     8	B3	0:02:00-0:03:00	2.00123	70	5.04	0	0	70	54.96	1.07043	295.167	26.7607	120.074
T1	Trial     8	B3	0:03:00-0:04:00	3.14245	117	9	0	0	118	50.92	-4.08817	-288.399	-102.204	188.296
T1	Trial     8	B3	0:04:00-0:05:00	5.02404	188	17.32	0	0	187	42.68	-0.415834	-28.8542	-10.3958	301.442
T1	Trial     8	B3	0:05:00-0:06:00	5.86802	190	21.2	0	0	190	38.8	-2.00978	2.18309	-50.2446	352.081
T1	Trial     8	B3	0:06:00-0:07:00	4.52503	199	17.36	0	0	200	42.56	-0.474168	-44.7838	-11.8542	271.14
T1	Trial     8	B3	0:07:00-0:08:00	3.69748	193	12.64	0	0	194	47.36	1.13068	72.9791	28.2669	221.849
T1	Trial     8	B3	0:08:00-0:09:00	3.61731	153	11.72	0	0	152	48.2	-2.19476	-65.661	-54.8689	216.749
T1	Trial     8	B3	0:09:00-0:10:00	4.42484	183	16.12	0	0	184	43.88	-0.310003	1.37989	-7.75008	265.49
T1	Trial     8	B3	0:10:00-0:11:00	4.15102	178	14.36	0	0	179	45.64	-0.376653	-121.326	-9.41631	249.061
T1	Trial     8	B3	0:11:00-0:12:00	1.78637	65	3.04	0	0	67	56.88	2.109	122.378	52.725	107.04
T1	Trial     8	B3	0:12:00-0:13:00	1.89131	62	3.04	0	0	62	56.96	-3.19128	129.861	-79.782	113.478
T1	Trial     8	B3	0:13:00-0:14:00	2.05061	89	4.72	0	0	90	55.28	3.94063	526.807	98.5158	123.037
T1	Trial     8	B3	0:14:00-0:15:00	2.3188	107	6.2	0	0	109	53.72	-1.6425	-484.131	-41.0626	138.943
T1	Trial     8	B3	0:15:00-0:16:00	2.0143	85	4.96	0	0	85	55.04	-0.380068	-72.7829	-9.50171	120.858
T1	Trial     8	B3	0:16:00-0:17:00	2.12503	91	5.68	0	0	91	54.24	0.164028	74.112	4.10069	127.332
T1	Trial     8	B3	0:17:00-0:18:00	2.27441	108	6.68	0	0	107	53.32	-0.0567007	-207.812	-1.41752	136.465
T1	Trial     8	B3	0:18:00-0:19:00	2.13398	79	5.88	0	0	80	54.12	-1.58977	-53.7661	-39.7442	128.039
T1	Trial     8	B3	0:19:00-0:20:00	2.24661	92	6.08	0	0	94	53.84	-1.31618	-102.574	-32.9045	134.617
T1	Trial     8	B3	0:20:00-0:21:00	2.73648	104	7.8	0	0	104	52.2	0.637058	-177.215	15.9265	164.189
T1	Trial     8	B3	0:21:00-0:22:00	1.95751	52	4	0	0	53	56	0.587472	231.264	14.6868	117.451
T1	Trial     8	B3	0:22:00-0:23:00	2.05535	64	4.2	0	0	66	55.72	0.949423	10.8181	23.7356	123.157
T1	Trial     8	B3	0:23:00-0:24:00	1.91281	59	3.96	0	0	60	56.04	-0.582759	-138.831	-14.569	114.769
T1	Trial     8	B3	0:24:00-0:25:00	1.84696	74	4.32	0	0	76	55.6	-1.10729	-149.781	-27.6823	110.67
T1	Trial     8	B3	0:25:00-0:26:00	2.33813	46	3.88	0	0	47	56.12	-2.22763	-30.8482	-55.6908	140.288
T1	Trial     8	B3	0:26:00-0:27:00	2.75393	92	8.08	0	0	93	51.92	0.214261	114.737	5.35653	165.236
T1	Trial     8	B3	0:27:00-0:28:00	2.2659	96	6.16	0	0	98	53.76	4.7685	302.953	119.212	135.773
T1	Trial     8	B3	0:28:00-0:29:00	1.7508	62	3.56	0	0	63	56.44	1.00366	225.022	25.0916	105.048
T1	Trial     8	B3	0:29:00-0:30:00	1.71376	59	3.4	0	0	59	56.6	-3.65653	-72.1411	-91.4133	102.826
T1	Trial     8	B3	0:30:00-0:31:00	3.21286	146	11.56	0	0	146	48.36	-1.91555	-211.514	-47.8887	192.514
T1	Trial     8	B3	0:31:00-0:32:00	2.07315	81	5.12	0	0	81	54.88	-1.47711	1317.1	-36.9278	124.389
T1	Trial     8	B3	0:32:00-0:33:00	2.03909	75	4.76	0	0	77	55.16	-1.19588	33.4941	-29.897	122.182
T1	Trial     8	B3	0:33:00-0:34:00	2.00991	73	4.52	0	0	73	55.48	-2.06605	-10.3561	-51.6511	120.595
T1	Trial     8	B3	0:34:00-0:35:00	3.88915	181	13.72	0	0	182	46.28	-1.96308	129.524	-49.077	233.349
T1	Trial     8	B3	0:35:00-0:36:00	5.78085	211	22.2	0	0	211	37.72	-1.43569	-38.5558	-35.8923	346.389
T1	Trial     8	B3	0:36:00-0:37:00	4.08022	161	14.68	0	0	161	45.32	-0.198232	110.741	-4.9558	244.813
T1	Trial     8	B3	0:37:00-0:38:00	2.7889	134	9.68	0	0	135	50.32	0.0507976	284.777	1.26994	167.334
T1	Trial     8	B3	0:38:00-0:39:00	6.46211	247	25.48	0	0	249	34.44	-0.692761	-87.3071	-17.319	387.209
T1	Trial     8	B3	0:39:00-0:40:00	5.57646	210	22.52	0	0	211	37.48	-0.58812	161.2	-14.703	334.587
T1	Trial     8	B3	0:40:00-0:41:00	2.32449	76	5.64	0	0	77	54.28	2.06422	-157.901	51.6055	139.283
T1	Trial     8	B3	0:41:00-0:42:00	1.96338	73	4.64	0	0	74	55.36	1.95657	-116.547	48.9142	117.803
T1	Trial     8	B3	0:42:00-0:43:00	1.91453	62	4.24	0	0	63	55.76	-3.03465	293.896	-75.8663	114.872
T1	Trial     8	B3	0:43:00-0:44:00	2.0598	65	4.36	0	0	67	55.56	2.11021	187.127	52.7552	123.423
T1	Trial     8	B3	0:44:00-0:45:00	2.0018	67	4.44	0	0	68	55.56	-4.193	-325.55	-104.825	120.108
T1	Trial     8	B3	0:45:00-0:46:00	2.62239	85	7.28	0	0	86	52.72	-4.53348	-13.8811	-113.337	157.343
T1	Trial     8	B3	0:46:00-0:47:00	4.70641	142	15.44	0	0	143	44.48	-1.64825	-110.882	-41.2062	282.008
T1	Trial     8	B3	0:47:00-0:48:00	5.1393	163	18.28	0	0	163	41.72	-1.02335	-7.69527	-25.5838	308.358
T1	Trial     8	B3	0:48:00-0:49:00	5.21801	172	18.44	0	0	173	41.48	-0.545733	133.465	-13.6433	312.663
T1	Trial     8	B3	0:49:00-0:50:00	4.45357	194	17.04	0	0	194	42.96	0.897608	6.86913	22.4402	267.214
T1	Trial     8	C1	0:00:00-0:01:00	2.52395	135	10.68	0	0	135	49.08	-1.26762	-369.731	-31.6906	150.832
T1	Trial     8	C1	0:01:00-0:02:00	1.03253	41	2.32	0	0	42	57.68	-5.49086	-468.09	-137.272	61.9517
T1	Trial     8	C1	0:02:00-0:03:00	0.924577	6	0.4	0	0	7	59.6	1.92258	-273.076	48.0646	55.4746
T1	Trial     8	C1	0:03:00-0:04:00	1.10179	32	2.4	0	0	33	57.52	6.74248	149.615	168.562	66.0195
T1	Trial     8	C1	0:04:00-0:05:00	0.46354	5	0.28	0	0	6	59.72	0.814716	-58.6234	20.3679	27.8124
T1	Trial     8	C1	0:05:00-0:06:00	0.504643	5	0.32	0	0	6	59.68	2.9219	900.925	73.0475	30.2786
T1	Trial     8	C1	0:06:00-0:07:00	0.578123	4	0.2	0	0	6	59.72	2.89368	307.506	72.3419	34.6411
T1	Trial     8	C1	0:07:00-0:08:00	1.25229	19	2.08	0	0	20	57.92	-2.56732	-874.94	-64.183	75.1376
T1	Trial     8	C1	0:08:00-0:09:00	4.72899	112	14.24	0	0	114	45.68	3.83957	91.363	95.9892	283.361
T1	Trial     8	C1	0:09:00-0:10:00	3.61022	92	10.28	0	0	92	49.72	5.36511	361.006	134.128	216.613
T1	Trial     8	C1	0:10:00-0:11:00	2.7664	116	8.44	0	0	117	51.56	-1.23053	100.494	-30.7633	165.984
T1	Trial     8	C1	0:11:00-0:12:00	1.23573	33	1.64	0	0	35	58.28	-2.55544	128.796	-63.8859	74.0451
T1	Trial     8	C1	0:12:00-0:13:00	1.20606	35	1.96	0	0	36	58.04	3.76678	238.942	94.1696	72.3637
T1	Trial     8	C1	0:13:00-0:14:00	1.48962	50	2.8	0	0	51	57.2	4.00327	-909.014	100.082	89.3773
T1	Trial     8	C1	0:14:00-0:15:00	1.54952	43	3	0	0	45	56.92	0.809517	-677.668	20.2379	92.8474
T1	Trial     8	C1	0:15:00-0:16:00	1.2005	31	1.52	0	0	32	58.48	-0.229966	-33.5312	-5.74916	72.0301
T1	Trial     8	C1	0:16:00-0:17:00	1.16589	30	1.28	0	0	31	58.64	-3.09294	-217.431	-77.3234	69.8603
T1	Trial     8	C1	0:17:00-0:18:00	2.41921	87	6.8	0	0	88	53.2	-5.29244	-160.587	-132.311	145.153
T1	Trial     8	C1	0:18:00-0:19:00	3.73862	108	11.36	0	0	109	48.64	3.6827	-76.8966	92.0676	224.317
T1	Trial     8	C1	0:19:00-0:20:00	1.10287	15	0.8	0	0	17	59.12	7.66225	-341.481	191.556	66.0839
T1	Trial     8	C1	0:20:00-0:21:00	1.57224	26	2.52	0	0	27	57.48	1.54464	283.025	38.6161	94.3341
T1	Trial     8	C1	0:21:00-0:22:00	0.864852	2	0.08	0	0	3	59.92	-1.26866	-267.258	-31.7166	51.8911
T1	Trial     8	C1	0:22:00-0:23:00	0.872634	2	0.08	0	0	4	59.84	2.93243	137.146	73.3107	52.2882
T1	Trial     8	C1	0:23:00-0:24:00	0.99146	20	1.2	0	0	21	58.8	7.07676	343.146	176.919	59.4876
T1	Trial     8	C1	0:24:00-0:25:00	1.75005	46	2.52	0	0	47	57.4	1.46212	215.112	36.553	104.863
T1	Trial     8	C1	0:25:00-0:26:00	1.4802	41	2.64	0	0	42	57.36	5.75976	325.613	143.994	88.812
T1	Trial     8	C1	0:26:00-0:27:00	1.25949	21	1.24	0	0	21	58.76	2.43366	10.4644	60.8415	75.5694
T1	Trial     8	C1	0:27:00-0:28:00	1.31866	33	2.36	0	0	33	57.56	4.31702	254.837	107.925	79.0138
T1	Trial     8	C1	0:28:00-0:29:00	1.24114	23	1.8	0	0	24	58.2	-3.51256	-976.612	-87.814	74.4683
T1	Trial     8	C1	0:29:00-0:30:00	1.11231	18	1.2	0	0	19	58.8	-0.85334	176.816	-21.3335	66.7386
T1	Trial     8	C1	0:30:00-0:31:00	1.57878	31	2.72	0	0	33	57.2	0.117094	286.251	2.92735	94.6007
T1	Trial     8	C1	0:31:00-0:32:00	1.50685	50	2.84	0	0	50	57.16	-2.98253	-213.392	-74.5632	90.411
T1	Trial     8	C1	0:32:00-0:33:00	1.28318	37	2.16	0	0	39	57.76	4.84227	-152.142	121.057	76.8884
T1	Trial     8	C1	0:33:00-0:34:00	1.37982	41	2.2	0	0	42	57.8	1.62091	-4.78327	40.5227	82.789
T1	Trial     8	C1	0:34:00-0:35:00	1.75814	49	4.12	0	0	50	55.88	3.48843	227.063	87.2108	105.488
T1	Trial     8	C1	0:35:00-0:36:00	2.05233	67	5.08	0	0	68	54.84	3.54116	-571.157	88.5289	122.976
T1	Trial     8	C1	0:36:00-0:37:00	1.9809	92	6	0	0	92	54	2.59478	-73.8173	64.8696	118.854
T1	Trial     8	C1	0:37:00-0:38:00	2.66863	94	8.32	0	0	95	51.68	-1.23184	554.211	-30.796	160.118
T1	Trial     8	C1	0:38:00-0:39:00	2.32413	103	7.4	0	0	105	52.52	1.82247	425.568	45.5617	139.262
T1	Trial     8	C1	0:39:00-0:40:00	1.43638	43	2.84	0	0	44	57.16	-1.36962	26.0003	-34.2406	86.1826
T1	Trial     8	C1	0:40:00-0:41:00	1.08179	8	0.84	0	0	10	59.08	-0.0303204	-230.367	-0.75801	64.8206
T1	Trial     8	C1	0:41:00-0:42:00	0.922844	5	0.28	0	0	6	59.72	-4.25805	200.274	-106.451	55.3706
T1	Trial     8	C1	0:42:00-0:43:00	0.800582	0	0	0	0	1	60	-3.34296	-108.783	-83.574	48.0349
T1	Trial     8	C1	0:43:00-0:44:00	0.86051	4	0.24	0	0	6	59.68	6.24253	166.461	156.063	51.5618
T1	Trial     8	C1	0:44:00-0:45:00	0.945055	10	0.64	0	0	11	59.36	-5.3424	-22.9042	-133.56	56.7033
T1	Trial     8	C1	0:45:00-0:46:00	1.16827	24	1.76	0	0	25	58.24	3.74872	-120.096	93.718	70.0963
T1	Trial     8	C1	0:46:00-0:47:00	1.25504	31	1.72	0	0	33	58.2	0.71312	397.232	17.828	75.2019
T1	Trial     8	C1	0:47:00-0:48:00	0.981766	10	0.64	0	0	11	59.36	0.189044	657.527	4.72611	58.906
T1	Trial     8	C1	0:48:00-0:49:00	0.89839	2	0.2	0	0	4	59.72	-0.735242	-509.274	-18.3811	53.8315
T1	Trial     8	C1	0:49:00-0:50:00	1.19691	13	1.44	0	0	14	58.56	-3.06459	18.9064	-76.6147	71.8146
T1	Trial     8	C3	0:00:00-0:01:00	1.15791	32	2.24	0	0	33	57.52	-0.713318	-472.811	-17.833	69.1968
T1	Trial     8	C3	0:01:00-0:02:00	1.44812	38	2.8	0	0	39	57.2	2.72911	230.501	68.2276	86.8871
T1	Trial     8	C3	0:02:00-0:03:00	0.900275	0	0	0	0	1	60	-6.31528	-39.5901	-157.882	54.0165
T1	Trial     8	C3	0:03:00-0:04:00	0.801739	1	0.04	0	0	3	59.88	-2.18084	167.986	-54.5209	48.0402
T1	Trial     8	C3	0:04:00-0:05:00	0.570101	0	0	0	0	1	60	3.98144	453.631	99.536	34.2061
T1	Trial     8	C3	0:05:00-0:06:00	0.840513	1	0.04	0	0	2	59.96	1.09238	495.46	27.3095	50.4308
T1	Trial     8	C3	0:06:00-0:07:00	0.86941	0	0	0	0	2	59.92	4.9581	88.7596	123.953	52.095
T1	Trial     8	C3	0:07:00-0:08:00	0.877346	2	0.08	0	0	3	59.92	-0.416482	9.22369	-10.412	52.6408
T1	Trial     8	C3	0:08:00-0:09:00	0.952223	13	0.52	0	0	15	59.4	2.21807	462.166	55.4518	57.0572
T1	Trial     8	C3	0:09:00-0:10:00	0.813517	13	1.04	0	0	14	58.96	-1.42526	-310.081	-35.6316	48.811
T1	Trial     8	C3	0:10:00-0:11:00	1.02878	11	0.8	0	0	12	59.2	-8.25898	323.285	-206.475	61.7271
T1	Trial     8	C3	0:11:00-0:12:00	0.987338	15	0.76	0	0	17	59.16	1.12418	42.741	28.1045	59.1613
T1	Trial     8	C3	0:12:00-0:13:00	1.27071	38	1.72	0	0	39	58.28	5.75144	360.646	143.786	76.2428
T1	Trial     8	C3	0:13:00-0:14:00	1.08104	11	0.48	0	0	12	59.52	9.58794	603.224	239.698	64.8621
T1	Trial     8	C3	0:14:00-0:15:00	1.00477	13	0.92	0	0	15	59	-3.50949	-21.1555	-87.7372	60.2056
T1	Trial     8	C3	0:15:00-0:16:00	0.806677	1	0.04	0	0	2	59.96	5.7962	533.595	144.905	48.4006
T1	Trial     8	C3	0:16:00-0:17:00	1.19198	16	1.24	0	0	18	58.68	-1.34469	-379.893	-33.6173	71.4235
T1	Trial     8	C3	0:17:00-0:18:00	0.721481	1	0.04	0	0	2	59.96	-1.91179	-859.787	-47.7947	43.2888
T1	Trial     8	C3	0:18:00-0:19:00	0.725777	0	0	0	0	1	60	-3.59298	-260.468	-89.8246	43.5466
T1	Trial     8	C3	0:19:00-0:20:00	1.04766	19	1.24	0	0	21	58.68	7.54783	446.592	188.696	62.7758
T1	Trial     8	C3	0:20:00-0:21:00	1.05726	3	0.32	0	0	4	59.68	-0.256529	281.463	-6.41322	63.4354
T1	Trial     8	C3	0:21:00-0:22:00	0.941308	0	0	0	0	1	60	-1.77713	-56.4365	-44.4283	56.4785
T1	Trial     8	C3	0:22:00-0:23:00	0.950015	1	0.08	0	0	3	59.84	-2.51429	-212.317	-62.8572	56.9249
T1	Trial     8	C3	0:23:00-0:24:00	0.893038	0	0	0	0	1	60	1.78433	-148.835	44.6084	53.5823
T1	Trial     8	C3	0:24:00-0:25:00	0.831113	0	0	0	0	2	59.92	5.64461	326.381	141.115	49.8003
T1	Trial     8	C3	0:25:00-0:26:00	0.885761	10	0.44	0	0	11	59.56	-6.91122	-201.193	-172.781	53.1457
T1	Trial     8	C3	0:26:00-0:27:00	0.637249	0	0	0	0	1	60	-0.324739	-313.719	-8.11847	38.2349
T1	Trial     8	C3	0:27:00-0:28:00	0.868869	1	0.04	0	0	3	59.88	4.16752	-100.741	104.188	52.0626
T1	Trial     8	C3	0:28:00-0:29:00	0.966734	3	0.16	0	0	4	59.84	2.36079	-4.70184	59.0198	58.004
T1	Trial     8	C3	0:29:00-0:30:00	1.13913	22	1.84	0	0	23	58.16	4.57419	40.1208	114.355	68.3479
T1	Trial     8	C3	0:30:00-0:31:00	3.99788	81	8.4	0	0	83	51.52	4.23529	-84.8228	105.882	239.553
T1	Trial     8	C3	0:31:00-0:32:00	1.76146	40	3.48	0	0	41	56.52	4.03053	-584.707	100.763	105.687
T1	Trial     8	C3	0:32:00-0:33:00	1.62273	24	2.24	0	0	26	57.68	-7.72937	-1089.21	-193.234	97.2338
T1	Trial     8	C3	0:33:00-0:34:00	1.04624	5	0.52	0	0	6	59.48	-1.26805	157.485	-31.7013	62.7741
T1	Trial     8	C3	0:34:00-0:35:00	1.7389	21	2.08	0	0	22	57.92	1.56422	423.338	39.1054	104.334
T1	Trial     8	C3	0:35:00-0:36:00	0.823001	0	0	0	0	2	59.92	1.11339	580.795	27.8347	49.3142
T1	Trial     8	C3	0:36:00-0:37:00	0.710055	0	0	0	0	1	60	2.56577	-246.632	64.1442	42.6033
T1	Trial     8	C3	0:37:00-0:38:00	0.67377	0	0	0	0	1	60	-11.5979	-560.02	-289.947	40.4262
T1	Trial     8	C3	0:38:00-0:39:00	0.667207	0	0	0	0	2	59.92	-0.511697	-382.947	-12.7924	39.979
T1	Trial     8	C3	0:39:00-0:40:00	0.736722	0	0	0	0	1	60	-1.58145	364.917	-39.5362	44.2033
